League,PlayerName,Stat,PropLine,Type
NFL,Jalen Hurts,Pass Yards,199.5,goblin
NFL,Dallas Goedert,Receiving Yards,59.5,demon
NFL,Dallas Goedert,Receiving Yards,69.5,demon
NFL,Jalen Hurts,Pass Yards,224.5,demon
NFL,Dallas Goedert,Receiving Yards,79.5,demon
NFL,Tershawn Wharton,Sacks,0.25,demon
NFL,Jake Elliott,Fantasy Score,8.0,standard
NFL,Jake Elliott,Kicking Points,7.0,standard
NFL,Samaje Perine,Receptions,0.5,goblin
NFL,Jake Elliott,PAT Made,2.5,standard
NFL,DeAndre Hopkins,Receiving Yards,19.5,demon
NFL,Jalen Hurts,Pass Yards,249.5,demon
NFL,Harrison Butker,Fantasy Score,8.5,standard
NFL,Harrison Butker,Kicking Points,7.5,standard
NFL,Harrison Butker,PAT Made,2.5,standard
NFL,DeAndre Hopkins,Receiving Yards,24.5,demon
NFL,Jalen Hurts,Pass Yards,274.5,demon
NFL,Noah Gray,Receiving Yards,11.5,standard
NFL,Jalen Hurts,Rush Yards,24.5,goblin
NFL,Jalen Hurts,Rush Yards,29.5,goblin
NFL,Isiah Pacheco,Receiving Yards,4.5,standard
NFL,DeAndre Hopkins,Receiving Yards,29.5,demon
NFL,Jalen Hurts,Rush Yards,49.5,demon
NFL,Jalen Hurts,Rush Yards,59.5,demon
NFL,Samaje Perine,Receiving Yards,7.5,standard
NFL,Jalen Hurts,Rush Yards,69.5,demon
NFL,DeAndre Hopkins,Receiving Yards,39.5,demon
NFL,DeVonta Smith,Receiving Yards,29.5,goblin
NFL,Kareem Hunt,Receiving Yards,7.5,standard
NFL,DeVonta Smith,Receiving Yards,39.5,goblin
NFL,Patrick Mahomes + Jalen Hurts,Pass Yards (Combo),465.5,standard
NFL,Patrick Mahomes + Jalen Hurts,Rush Yards (Combo),69.5,standard
NFL,DeVonta Smith,Receiving Yards,59.5,demon
NFL,Kareem Hunt,Rush Yards,29.5,goblin
NFL,Travis Kelce + A.J. Brown,Receiving Yards (Combo),132.5,standard
NFL,Xavier Worthy + DeVonta Smith,Receiving Yards (Combo),106.5,standard
NFL,DeVonta Smith,Receiving Yards,69.5,demon
NFL,Kareem Hunt,Rush Yards,39.5,goblin
NFL,DeVonta Smith,Receiving Yards,74.5,demon
NFL,Kareem Hunt,Rush Yards,59.5,demon
NFL,Hollywood Brown + Dallas Goedert,Receiving Yards (Combo),93.5,standard
NFL,Kareem Hunt,Rush Yards,69.5,demon
NFL,Jake Elliott + Harrison Butker,Field Goal Yards (Combo),120.5,standard
NFL,DeVonta Smith,Receiving Yards,79.5,demon
NFL,Kareem Hunt,Rush+Rec Yds,39.5,goblin
NFL,Jake Elliott + Harrison Butker,Longest FG Made Yds (Combo),48.5,standard
NFL,DeVonta Smith,Receiving Yards,89.5,demon
NFL,Hollywood Brown,Receiving Yards,24.5,goblin
NFL,Kareem Hunt,Rush+Rec Yds,49.5,goblin
NFL,Jake Elliott + Harrison Butker,Shortest FG Made Yds (Combo),27.5,standard
NFL,Hollywood Brown,Receiving Yards,29.5,goblin
NFL,Kareem Hunt,Rush+Rec Yds,69.5,demon
NFL,Kareem Hunt,Rush+Rec Yds,74.5,demon
NFL,Hollywood Brown,Receiving Yards,49.5,demon
NFL,Hollywood Brown,Receiving Yards,59.5,demon
NFL,Kareem Hunt,Rush+Rec Yds,79.5,demon
NFL,Hollywood Brown,Receiving Yards,69.5,demon
NFL,Kareem Hunt,Rush+Rec Yds,89.5,demon
NFL,Saquon Barkley + Travis Kelce,Rush+Rec Yds (Combo),199.5,standard
NFL,Hollywood Brown,Receiving Yards,79.5,demon
NFL,Isiah Pacheco,Receiving Yards,19.5,demon
NFL,JuJu Smith-Schuster,Receiving Yards,19.5,demon
NFL,JuJu Smith-Schuster,Receiving Yards,24.5,demon
NFL,JuJu Smith-Schuster,Receiving Yards,29.5,demon
NFL,Patrick Mahomes,Pass Yards,224.5,goblin
NFL,Kareem Hunt,Receiving Yards,19.5,demon
NFL,Patrick Mahomes,Pass Yards,274.5,demon
NFL,Noah Gray,Receiving Yards,19.5,demon
NFL,Noah Gray,Receiving Yards,24.5,demon
NFL,Noah Gray,Receiving Yards,29.5,demon
NFL,Patrick Mahomes,Pass Yards,299.5,demon
NFL,Patrick Mahomes,Pass Yards,324.5,demon
NFL,Samaje Perine,Receiving Yards,19.5,demon
NFL,Samaje Perine,Receiving Yards,24.5,demon
NFL,Patrick Mahomes,Rush Yards,19.5,goblin
NFL,Patrick Mahomes,Rush Yards,24.5,goblin
NFL,Saquon Barkley,Receiving Yards,19.5,demon
NFL,Saquon Barkley,Receiving Yards,24.5,demon
NFL,Patrick Mahomes,Rush Yards,39.5,demon
NFL,Patrick Mahomes,Rush Yards,49.5,demon
NFL,Saquon Barkley,Receiving Yards,29.5,demon
NFL,Travis Kelce,Receiving Yards,39.5,goblin
NFL,Travis Kelce,Receiving Yards,49.5,goblin
NFL,Travis Kelce,Receiving Yards,74.5,demon
NFL,Travis Kelce,Receiving Yards,79.5,demon
NFL,Travis Kelce,Receiving Yards,89.5,demon
NFL,Saquon Barkley,Rush Yards,89.5,goblin
NFL,Travis Kelce,Receiving Yards,99.5,demon
NFL,Saquon Barkley,Rush Yards,99.5,goblin
NFL,Xavier Worthy,Receiving Yards,39.5,goblin
NFL,Saquon Barkley,Rush Yards,124.5,demon
NFL,Saquon Barkley,Rush Yards,129.5,demon
NFL,Xavier Worthy,Receiving Yards,49.5,goblin
NFL,Saquon Barkley,Rush Yards,139.5,demon
NFL,Xavier Worthy,Receiving Yards,69.5,demon
NFL,Xavier Worthy,Receiving Yards,74.5,demon
NFL,Saquon Barkley,Rush Yards,149.5,demon
NFL,Xavier Worthy,Receiving Yards,79.5,demon
NFL,Saquon Barkley,Rush+Rec Yds,99.5,goblin
NFL,Saquon Barkley,Rush+Rec Yds,119.5,goblin
NFL,Xavier Worthy,Receiving Yards,89.5,demon
NFL,Kareem Hunt,Receiving Yards,4.5,goblin
NFL,Isiah Pacheco,Receiving Yards,24.5,demon
NFL,Saquon Barkley,Rush+Rec Yds,149.5,demon
NFL,Saquon Barkley,Rush+Rec Yds,159.5,demon
NFL,Travis Kelce,Receiving Yards,69.5,demon
NFL,Saquon Barkley,Rush+Rec Yds,174.5,demon
NFL,Kareem Hunt,Receiving Yards,24.5,demon
NFL,JuJu Smith-Schuster,Receiving Yards,39.5,demon
NFL,Samaje Perine,Receiving Yards,29.5,demon
NFL,Samaje Perine,Receiving Yards,39.5,demon
NFL,Dallas Goedert,Receiving Yards,29.5,goblin
NFL,Saquon Barkley,Receiving Yards,39.5,demon
NFL,Dallas Goedert,Receiving Yards,74.5,demon
NFL,Dallas Goedert,Receiving Yards,89.5,demon
NFL,Xavier Worthy,Rush+Rec Yds,49.5,goblin
NFL,Xavier Worthy,Rush+Rec Yds,74.5,demon
NFL,Xavier Worthy,Rush+Rec Yds,99.5,demon
NFL,Dallas Goedert,Rush Yards,0.5,demon
NFL,Jalen Hurts,Pass Attempts,31.5,demon
NFL,Jalen Hurts,Pass Attempts,33.5,demon
NFL,Kareem Hunt,Rush Yards,79.5,demon
NFL,Patrick Mahomes,Pass Attempts,33.5,goblin
NFL,Patrick Mahomes,Pass Attempts,41.5,demon
NFL,Patrick Mahomes,Pass Attempts,43.5,demon
NFL,Patrick Mahomes,Pass+Rush Yds,224.5,goblin
NFL,Saquon Barkley,Longest Reception,19.5,demon
NFL,A.J. Brown,Longest Reception,19.5,goblin
NFL,A.J. Brown,Receptions,6.5,demon
NFL,Dallas Goedert,Receptions,3.5,goblin
NFL,Dallas Goedert,Receptions,5.5,demon
NFL,DeVonta Smith,Receptions,3.5,goblin
NFL,A.J. Brown,Receptions,5.5,demon
NFL,A.J. Brown,Receptions,3.5,goblin
NFL,A.J. Brown,Receptions,4.5,goblin
NFL,Saquon Barkley,Receptions,1.5,goblin
NFL,Jalen Hurts,Pass Attempts,24.5,goblin
NFL,Jalen Hurts,Longest Completion,29.5,goblin
NFL,Saquon Barkley,Receptions,3.5,demon
NFL,Saquon Barkley,Receptions,2.5,demon
NFL,Jalen Hurts,Pass Completions,19.5,demon
NFL,Jalen Hurts,Longest Completion,39.5,demon
NFL,DeVonta Smith,Receptions,5.5,demon
NFL,A.J. Brown,Receptions,7.5,demon
NFL,A.J. Brown,Longest Reception,29.5,demon
NFL,Jalen Hurts,Pass Attempts,29.5,demon
NFL,DeVonta Smith,Longest Reception,29.5,demon
NFL,A.J. Brown,Longest Reception,39.5,demon
NFL,Noah Gray,Receptions,2.5,demon
NFL,Patrick Mahomes,Pass Attempts,34.5,goblin
NFL,Patrick Mahomes,Longest Completion,29.5,goblin
NFL,Samaje Perine,Receptions,2.5,demon
NFL,Xavier Worthy,Receptions,5.5,demon
NFL,Travis Kelce,Receptions,7.5,demon
NFL,JuJu Smith-Schuster,Receptions,2.5,demon
NFL,Travis Kelce,Longest Reception,29.5,demon
NFL,Xavier Worthy,Longest Reception,29.5,demon
NFL,Patrick Mahomes,Longest Completion,44.5,demon
NFL,Travis Kelce,Receptions,4.5,goblin
NFL,Patrick Mahomes,Longest Completion,39.5,demon
NFL,JuJu Smith-Schuster,Longest Reception,19.5,demon
NFL,Patrick Mahomes,Pass Completions,29.5,demon
NFL,Hollywood Brown,Longest Reception,29.5,demon
NFL,Isiah Pacheco,Receptions,0.5,goblin
NFL,Noah Gray,Longest Reception,19.5,demon
NFL,Xavier Worthy,Receptions,7.5,demon
NFL,Isiah Pacheco,Receptions,1.5,demon
NFL,Xavier Worthy,Receptions,4.5,goblin
NFL,DeAndre Hopkins,Receptions,2.5,demon
