,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.in_game,attributes.is_live,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_display_name,attributes.stat_type,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data.type,relationships.duration.data.id,relationships.game.data.type,relationships.game.data.id,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.score.data,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.trending_count,relationships.stat_average.data.type,relationships.stat_average.data.id,attributes.discount_name,attributes.discount_percentage,type_new_player,id_new_player,attributes.name,attributes.combo,attributes.display_name,attributes.image_url,attributes.league,attributes.league_id,attributes.position,attributes.team,relationships.league.data.type_new_player,relationships.league.data.id_new_player,relationships.team_data.data.type,relationships.team_data.data.id
20,projection,3748256,False,2025-01-19T09:14:00-05:00,,KC,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,18.5,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Pass Completions,Pass Completions,pre_game,,2025-02-03T12:30:28-05:00,duration,11,game,45705,league,9,new_player,206300,projection_type,2,,stat_type,27,,stat_average,49763,,,new_player,206300,Jalen Hurts,False,Jalen Hurts,https://static.prizepicks.com/images/teams/nfl/PHI/1.webp,NFL,9.0,QB,PHI,league,9,team,1188
21,projection,3753704,,2025-01-12T09:22:00-05:00,,PHI,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,8.0,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Rec Targets,Rec Targets,pre_game,,2025-01-28T15:24:52-05:00,duration,11,game,45705,league,9,new_player,211191,projection_type,2,,stat_type,111,,stat_average,51358,,,new_player,211191,Travis Kelce,False,Travis Kelce,https://static.prizepicks.com/images/teams/nfl/KC/87.webp,NFL,9.0,TE,KC,league,9,team,16506
22,projection,3748380,,2025-01-19T09:14:00-05:00,,KC,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,26.5,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Rush Yards in First 5 Attempts,Rush Yards in First 5 Attempts,pre_game,,2025-01-27T22:36:44-05:00,duration,11,game,45705,league,9,new_player,206302,projection_type,2,,stat_type,463,31499.0,stat_average,88543,,,new_player,206302,Saquon Barkley,False,Saquon Barkley,https://static.prizepicks.com/images/teams/nfl/PHI/26.webp,NFL,9.0,RB,PHI,league,9,team,1188
23,projection,3811263,,2025-01-26T18:30:00-05:00,,KC,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,5.2,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Rush Yards Per Carry,Rush Yards Per Carry,pre_game,,2025-02-03T15:19:40-05:00,duration,11,game,45705,league,9,new_player,206302,projection_type,2,,stat_type,846,,stat_average,118346,,,new_player,206302,Saquon Barkley,False,Saquon Barkley,https://static.prizepicks.com/images/teams/nfl/PHI/26.webp,NFL,9.0,RB,PHI,league,9,team,1188
24,projection,3748851,,2025-01-12T09:22:00-05:00,,PHI,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,35.5,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Longest Completion,Longest Completion,pre_game,,2025-01-28T15:24:52-05:00,duration,11,game,45705,league,9,new_player,206295,projection_type,2,,stat_type,822,,stat_average,111737,,,new_player,206295,Patrick Mahomes,False,Patrick Mahomes,https://static.prizepicks.com/images/teams/nfl/KC/15.webp,NFL,9.0,QB,KC,league,9,team,1131
25,projection,3748875,,2025-01-12T09:22:00-05:00,,PHI,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,18.5,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Receiving Yards in First 2 Receptions,Receiving Yards in First 2 Receptions,pre_game,,2025-01-30T16:47:45-05:00,duration,11,game,45705,league,9,new_player,211191,projection_type,2,,stat_type,464,,stat_average,95356,,,new_player,211191,Travis Kelce,False,Travis Kelce,https://static.prizepicks.com/images/teams/nfl/KC/87.webp,NFL,9.0,TE,KC,league,9,team,16506
26,projection,3748261,False,2025-01-19T09:14:00-05:00,,KC,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,9.5,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Rush Attempts,Rush Attempts,pre_game,,2025-01-27T20:40:38-05:00,duration,11,game,45705,league,9,new_player,206300,projection_type,2,,stat_type,113,,stat_average,52928,,,new_player,206300,Jalen Hurts,False,Jalen Hurts,https://static.prizepicks.com/images/teams/nfl/PHI/1.webp,NFL,9.0,QB,PHI,league,9,team,1188
27,projection,3753705,,2025-01-19T09:14:00-05:00,,KC,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,7.5,standard,Single Stat,2,True,2025-02-09T18:30:00-05:00,Rec Targets,Rec Targets,pre_game,,2025-01-27T10:46:08-05:00,duration,11,game,45705,league,9,new_player,206304,projection_type,2,,stat_type,111,,stat_average,51364,,,new_player,206304,A.J. Brown,False,A.J. Brown,https://static.prizepicks.com/images/teams/nfl/PHI/11.webp,NFL,9.0,WR,PHI,league,9,team,1188
28,projection,3748240,False,2025-01-12T09:22:00-05:00,,PHI,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,252.5,standard,Single Stat,2,True,2025-02-09T18:30:00-05:00,Pass Yards,Pass Yards,pre_game,,2025-01-30T16:34:45-05:00,duration,11,game,45705,league,9,new_player,206295,projection_type,2,,stat_type,16,,stat_average,35069,,,new_player,206295,Patrick Mahomes,False,Patrick Mahomes,https://static.prizepicks.com/images/teams/nfl/KC/15.webp,NFL,9.0,QB,KC,league,9,team,1131
29,projection,3811264,,2025-01-26T18:30:00-05:00,,PHI,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,3.8,standard,Single Stat,2,True,2025-02-09T18:30:00-05:00,Rush Yards Per Carry,Rush Yards Per Carry,pre_game,,2025-02-03T15:55:06-05:00,duration,11,game,45705,league,9,new_player,214661,projection_type,2,,stat_type,846,,stat_average,118347,,,new_player,214661,Kareem Hunt,False,Kareem Hunt,https://static.prizepicks.com/images/teams/nfl/KC/29.webp,NFL,9.0,RB,KC,league,9,team,1131
