League,PlayerName,Stat,PropLine,Type
NBA,Nick Richards,Pts+Rebs+Asts,24.5,demon
NBA,Kevin Durant,Rebounds,8.5,demon
NBA,Kevin Durant,Points,33.5,demon
NBA,Kevin Durant,Pts+Rebs,29.5,goblin
NBA,Kevin Durant,Steals,2.5,demon
NBA,Kevin Durant,Rebounds,7.5,demon
NBA,Kevin Durant,Points,34.5,demon
NBA,Kevin Durant,Pts+Asts,39.5,demon
NBA,Kevin Durant,Blocked Shots,2.5,demon
NBA,Kevin Durant,Blocked Shots,1.5,demon
NBA,Bradley Beal,Pts+Asts,24.5,demon
NBA,Bradley Beal,Rebounds,4.5,demon
NBA,Kevin Durant,Assists,6.5,demon
NBA,Devin Booker,Rebounds,6.5,demon
NBA,Devin Booker,Steals,0.5,goblin
NBA,Bradley Beal,Rebs+Asts,9.5,demon
NBA,Devin Booker,Pts+Rebs,39.5,demon
NBA,Bradley Beal,Points,18.5,demon
NBA,Devin Booker,Blocked Shots,0.5,demon
NBA,Bradley Beal,Pts+Asts,14.5,goblin
NBA,Kevin Durant,Assists,3.5,goblin
NBA,Devin Booker,Pts+Asts,39.5,demon
NBA,Tyus Jones,Points,11.5,demon
NBA,Kevin Durant,Steals,1.5,demon
NBA,Nick Richards,Points,7.5,goblin
NBA,Bradley Beal,Steals,1.5,demon
NBA,Kevin Durant,Rebounds,4.5,goblin
NBA,Nick Richards,Rebounds,13.5,demon
NBA,Bradley Beal,Steals,0.5,goblin
NBA,Tyus Jones,Pts+Asts,19.5,demon
NBA,Devin Booker,Steals,1.5,demon
NBA,Tyus Jones,Steals,1.5,demon
NBA,Tyus Jones,Pts+Rebs+Asts,19.5,demon
NBA,Kevin Durant,Pts+Asts,24.5,goblin
NBA,Bradley Beal,Pts+Rebs,19.5,demon
NBA,Tyus Jones,Assists,3.5,goblin
NBA,Devin Booker,3-PT Made,4.5,demon
NBA,Kevin Durant,Rebs+Asts,11.5,demon
NBA,Devin Booker,Assists,5.5,goblin
NBA,Kevin Durant,Pts+Asts,34.5,demon
NBA,Devin Booker,Assists,8.5,demon
NBA,Nick Richards,Blocked Shots,1.5,demon
NBA,Tyus Jones,3-PT Made,2.5,demon
NBA,Nick Richards,Rebounds,8.5,goblin
NBA,Devin Booker,Points,34.5,demon
NBA,Tyus Jones,Points,5.5,goblin
NBA,Bradley Beal,Points,19.5,demon
NBA,Bradley Beal,3-PT Made,2.5,demon
NBA,Devin Booker,Pts+Rebs,34.5,demon
NBA,Tyus Jones,Turnovers,1.5,demon
NBA,Kevin Durant,Pts+Rebs+Asts,44.5,demon
NBA,Tyus Jones,Rebs+Asts,9.5,demon
NBA,Devin Booker,3-PT Made,3.5,demon
NBA,Kevin Durant,Pts+Rebs,39.5,demon
NBA,Bradley Beal,Rebounds,3.5,demon
NBA,Bradley Beal,Assists,4.5,demon
NBA,Kevin Durant,3-PT Made,1.5,goblin
NBA,Bradley Beal,Pts+Asts,19.5,demon
NBA,Nick Richards,Points,11.5,demon
NBA,Devin Booker,Rebs+Asts,14.5,demon
NBA,Kevin Durant,Assists,5.5,demon
NBA,Kevin Durant,Points,29.5,demon
NBA,Tyus Jones,Rebounds,2.5,demon
NBA,Toumani Camara,Turnovers,1.5,demon
NBA,Bradley Beal,Pts+Rebs,14.5,goblin
NBA,Nick Richards,Pts+Rebs,24.5,demon
NBA,Jerami Grant,Steals,1.5,demon
NBA,Kevin Durant,Steals,0.5,goblin
NBA,Toumani Camara,Points,15.5,demon
NBA,Deni Avdija,Points,22.5,demon
NBA,Anfernee Simons,Pts+Rebs,24.5,demon
NBA,Jerami Grant,Pts+Asts,19.5,demon
NBA,Deandre Ayton,Blocked Shots,1.5,demon
NBA,Deandre Ayton,Pts+Asts,24.5,demon
