'',gameId_advanced,teamId_advanced,teamCity_advanced,teamName_advanced,teamTricode_advanced,teamSlug_advanced,personId,firstName_advanced,familyName_advanced,nameI_advanced,playerSlug_advanced,position_advanced,comment_advanced,jerseyNum_advanced,minutes_advanced,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,gameId_traditional,teamId_traditional,teamCity_traditional,teamName_traditional,teamTricode_traditional,teamSlug_traditional,firstName_traditional,familyName_traditional,nameI_traditional,playerSlug_traditional,position_traditional,comment_traditional,jerseyNum_traditional,minutes_traditional,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,GAME_ID
20,0022400701,1610612765,Detroit,Pistons,DET,pistons,1631204,Marcus,Sasser,M. Sasser,marcus-sasser,,,,9:55,87.7,85.7,120.8,130.4,-33.1,-44.7,0.4,1.0,33.3,0.0,0.273,0.15,33.3,0.0,0.532,0.19,0.195,109.78,106.49,88.74,21.0,0.113,0022400701,1610612765,Detroit,Pistons,DET,pistons,Marcus,Sasser,M. Sasser,marcus-sasser,,,,9:55,0,1,0.0,0,0,0.0,2,2,1.0,0,3,3,2,1,0,2,1,2,-12.0,0022400701
21,0022400701,1610612765,Detroit,Pistons,DET,pistons,1641842,Ronald,Holland II,R. Holland II,ronald-holland-ii,,,,15:40,103.3,100.0,131.6,138.2,-28.3,-38.2,0.167,0.5,16.7,0.0,0.158,0.088,33.3,0.833,0.872,0.139,0.143,105.15,104.17,86.81,34.0,0.064,0022400701,1610612765,Detroit,Pistons,DET,pistons,Ronald,Holland II,R. Holland II,ronald-holland-ii,,,,15:40,2,3,0.667,1,2,0.5,1,1,1.0,0,3,3,1,0,0,2,3,6,-13.0,0022400701
22,0022400701,1610612765,Detroit,Pistons,DET,pistons,1631111,Wendell,Moore Jr.,W. Moore Jr.,wendell-moore-jr,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022400701,1610612765,Detroit,Pistons,DET,pistons,Wendell,Moore Jr.,W. Moore Jr.,wendell-moore-jr,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022400701
23,0022400701,1610612765,Detroit,Pistons,DET,pistons,1630194,Paul,Reed,P. Reed,paul-reed,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022400701,1610612765,Detroit,Pistons,DET,pistons,Paul,Reed,P. Reed,paul-reed,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022400701
24,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,1629022,Lonnie,Walker IV,L. Walker IV,lonnie-walker-iv,F,,,29:17,91.6,95.7,117.4,115.9,-25.8,-20.2,0.217,2.5,33.3,0.027,0.065,0.044,13.3,0.286,0.317,0.125,0.125,115.82,113.92,94.93,70.0,0.044,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Lonnie,Walker IV,L. Walker IV,lonnie-walker-iv,F,,,29:17,2,7,0.286,0,3,0.0,1,2,0.5,1,2,3,5,1,1,2,0,5,-13.0,0022200002
25,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,2544,LeBron,James,L. James,lebron-james,F,,,35:12,93.3,97.6,110.4,109.4,-17.1,-11.8,0.421,1.6,20.0,0.111,0.294,0.19,12.5,0.519,0.558,0.327,0.327,118.06,115.91,96.59,85.0,0.195,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,LeBron,James,L. James,lebron-james,F,,,35:12,12,26,0.462,3,10,0.3,4,4,1.0,5,10,15,8,0,0,5,2,31,-10.0,0022200002
26,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,203076,Anthony,Davis,A. Davis,anthony-davis,C,,,35:36,95.2,98.9,121.1,121.6,-25.9,-22.7,0.0,0.0,0.0,0.0,0.136,0.072,10.3,0.455,0.52,0.296,0.298,120.49,117.98,98.31,87.0,0.104,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Anthony,Davis,A. Davis,anthony-davis,C,,,35:36,10,22,0.455,0,3,0.0,7,9,0.778,0,6,6,0,4,1,3,2,27,-21.0,0022200002
27,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,201566,Russell,Westbrook,R. Westbrook,russell-westbrook,G,,,30:41,99.9,102.7,106.1,107.8,-6.1,-5.1,0.143,0.75,14.3,0.028,0.263,0.149,19.0,0.625,0.669,0.214,0.217,121.46,118.89,99.08,75.0,0.161,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Russell,Westbrook,R. Westbrook,russell-westbrook,G,,,30:41,7,12,0.583,1,3,0.333,4,5,0.8,1,10,11,3,1,0,4,1,19,-6.0,0022200002
28,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,201976,Patrick,Beverley,P. Beverley,patrick-beverley,G,,,24:40,97.0,96.4,103.4,103.6,-6.4,-7.2,0.1,2.0,25.0,0.042,0.032,0.036,12.5,0.3,0.3,0.102,0.104,107.73,108.0,90.0,55.0,0.015,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Patrick,Beverley,P. Beverley,patrick-beverley,G,,,24:40,1,5,0.2,1,5,0.2,0,0,0.0,1,1,2,2,4,2,1,5,3,-5.0,0022200002
29,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,1630559,Austin,Reaves,A. Reaves,austin-reaves,,,,16:00,76.0,80.0,91.0,95.0,-15.0,-15.0,0.083,0.0,25.0,0.0,0.0,0.0,0.0,0.333,0.436,0.068,0.068,125.76,120.0,100.0,40.0,0.019,0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,Austin,Reaves,A. Reaves,austin-reaves,,,,16:00,1,3,0.333,0,2,0.0,1,1,1.0,0,0,0,1,0,0,0,1,3,-6.0,0022200002
